City,Job Count
Bangalore/Bengaluru,1853
Pune,921
Hyderabad/Secunderabad,833
Mumbai,604
Gurgaon/Gurugram,551
Chennai,451
Noida,277
Bengaluru,206
Kolkata,167
Remote,107
New Delhi,94
Hyderabad,93
Delhi / NCR,79
Ahmedabad,71
Kochi/Cochin,56
Gurgaon,55
Mohali,38
Delhi,31
Jaipur,29
Chandigarh,25
Indore,20
Nagpur,17
Trivandrum/Thiruvananthapuram,17
Coimbatore,16
Lucknow,16
Navi Mumbai,15
Kochi,14
Vadodara,12
Mumbai Suburban,10
Thane,7
Pune(Kharadi),7
Faridabad,7
Visakhapatnam,7
Bhopal,7
Bhubaneswar,6
Vijayawada,6
Serilingampally,6
Surat,6
Kalyani,6
Mysore/Mysuru,6
Gurgaon Gurugram,6
Guwahati,5
Pune(Baner),5
Gandhinagar,5
Panaji/Panjim,5
Bangalore/Bengaluru(Indira Nagar),4
Mangaluru/Mangalore,4
Trivandrum,4
Bangalore/Bengaluru(Whitefield),4
Pune(Kalyani Nagar),4
Gurgaon/Gurugram(Sohna Road),3
Bangalore/Bengaluru(HSR Layout +2),3
Hyderabad/Secunderabad(Kondapur),3
United States (USA),3
Hosur,3
Mohali/SAS Nagar,3
Trichy,3
Ahmedabad(Prahlad Nagar),3
Ghaziabad,3
Mangalore,2
Pune(Talegaon Dabhade),2
Hyderabad/Secunderabad(Nanakramguda),2
Bangalore/Bengaluru(HSR Layout),2
Bangalore/Bengaluru(Old Madras Road),2
Kota,2
Pune(Viman Nagar),2
Panjim,2
Pondicherry/Puducherry,2
karnataka,2
Panchkula,2
Calicut/Kozhikode,2
Hyderabad/Secunderabad(Madhapur),2
Madurai,2
Ambah,2
Ludhiana,2
South Goa,2
Udaipur,2
Delhi NCR,2
Bangalore/Bengaluru(Sector 6 HSR Layout),2
Bangalore/Bengaluru(Koramangala),2
Ernakulam,2
Guntur,1
Noida(Sector-2 Noida),1
Bangalore/Bengaluru(Bellandur),1
Greater Noida,1
Warangal,1
Bangalore/Bengaluru(Sadashiva Nagar),1
Delhi / NCR(Chattarpur),1
Pune(Hadapsar),1
Amritsar,1
Aurangabad,1
Karnal,1
Chennai(Taramani),1
Mumbai(Prabhadevi),1
Kozhikode,1
haryana,1
Hyderabad/Secunderabad(Banjara hills),1
Bharuch,1
Uttar Pradesh,1
Faridabad(Ballabhgarh),1
Thiruvallur,1
Bangalore/Bengaluru(Jayanagar),1
Dharmapuri,1
Bangalore/Bengaluru(Electronics City Phase 1),1
Chennai(Manapakkam),1
Bhilai/Bhillai,1
Delhi / NCR(East Patel Nagar),1
Bangalore/Bengaluru(Sector 1 HSR Layout),1
Hyderabad/Secunderabad(Kandukuru +3),1
Hyderabad/Secunderabad(Srinagar Colony),1
Chennai(Saligramam),1
Bangalore/Bengaluru(HSR Layout +1),1
Noida(Sector-63 Noida),1
Bangalore/Bengaluru(Sarjapur),1
Jamshedpur,1
Mumbai(Mumbra),1
Sholinganallur,1
Bangalore/Bengaluru(EPIP Zone +1),1
Bangalore/Bengaluru(Electronic City +1),1
New Delhi(Udyog Nagar),1
Jalandhar,1
New Delhi(Ashok Nagar),1
Erode,1
Delhi / NCR(Ghitorni),1
New Delhi(Connaught Place),1
Bangalore/Bengaluru(Shettihalli),1
Mumbai(SEEPZ),1
Goregaon,1
Chennai(Teynampet),1
Hyderabad/Secunderabad(Gachibowli),1
Bangalore/Bengaluru(Residency Road),1
Bellary/Ballari,1
Kannur,1
Noida(Sector-132 Noida),1
Bangalore/Bengaluru(Marathahalli),1
Nasik/Nashik,1
Singapore,1
Pune(Wakad +3),1
Bhiwadi,1
Maldah/Malda,1
New Delhi(Safdarjung),1
Hyderabad/Secunderabad(Begumpet),1
Tirunelveli,1
Bangalore/Bengaluru(BTM Layout),1
Angul,1
Tumkur,1
Kolkata(Salt Lake +1),1
Bangalore/Bengaluru(Electronic City),1
Noida(Sector-59 Noida),1
Bangalore/Bengaluru(Hebbal),1
Hubli,1
Gujarat,1
Muzaffarpur,1
Pune(Balaji Nagar +7),1
Bangalore/Bengaluru(Bannerghatta Road),1
Mumbai(Airoli),1
Bangalore/Bengaluru(Sahakara Nagar),1
Yamunanagar,1
Gurgaon/Gurugram(Gwal Pahari),1
Chennai(Perungudi),1
Rajkot,1
Bahadurgarh,1
Salem,1
Palani,1
Chennai(Mount Road),1
punjab,1
Chennai(Ramapuram +1),1
